# よみ<TAB>候補をカンマ区切り（左が優先）。行を足せば語彙を増やせます。
あ	亜,阿,吾
い	以,伊,依,意,井
う	右,宇,雨
え	絵,江,得,柄
お	尾,緒,雄
か	下,火,可,課,科,加,歌
き	気,木,期,機,記,基,黄
く	区,句,苦
け	毛,家
こ	子,小,個,粉,故
さ	差,茶
し	市,四,死,詩,師,私,紙,誌
す	巣,酢,素
せ	背,瀬,世
そ	祖,素
た	田,他,多
ち	血,地,知,千
つ	津,都
て	手,点
と	戸,都,図,徒
な	名,菜,奈
に	二,荷,似
ぬ	布
ね	音,根,値
の	野,能
は	葉,歯,派,刃
ひ	日,火,非,比,秘
ふ	不,府,歩
へ	辺,経
ほ	穂,歩,補
ま	間,真,馬
み	身,実,見,美,味
む	無,武,夢
め	目,芽,女
も	藻,喪
や	屋,家,矢,野
ゆ	湯,油,由
よ	夜,世,予,余
ら	等
り	理,利,里
る	流
れ	礼,例
ろ	路,炉
わ	輪,和,話
あい	愛,合い,相,藍,間
あいさつ	挨拶
あいだ	間
あいて	相手
あいず	合図
あう	会う,合う,遭う
あお	青,蒼
あか	赤,垢
あかり	明かり,灯り
あかるい	明るい
あき	秋,空き,飽き
あく	開く,空く,悪
あける	開ける,明ける,空ける
あげる	上げる,挙げる,揚げる
あさ	朝,麻,浅
あさって	明後日
あし	足,脚,葦
あじ	味,鯵
あした	明日
あす	明日
あずかる	預かる
あそぶ	遊ぶ
あたま	頭
あたらしい	新しい
あたり	辺り,当たり
あつい	暑い,熱い,厚い
あつまる	集まる
あつめる	集める
あと	後,跡
あに	兄
あね	姉
あぶら	油,脂
あまり	余り,あまり
あめ	雨,飴
あらう	洗う
あらた	新た
あり	有り,在り,蟻
あるく	歩く
あれ	荒れ
あんぜん	安全
あんない	案内
いう	言う
いえ	家
いか	以下,烏賊
いがい	以外,意外
いき	息,行き
いきる	生きる
いく	行く
いけん	意見
いご	以後
いし	石,意志,医師
いじょう	以上
いそがしい	忙しい
いた	板
いたい	痛い
いち	一,位置,市
いちば	市場
いつ	何時,五
いっしょ	一緒
いっぱん	一般
いと	糸,意図
いない	以内
いぬ	犬
いま	今,居間
いみ	意味
いもうと	妹
いらい	以来,依頼
いりょう	医療
いる	居る,要る,入る
いれる	入れる
いろ	色
いわ	岩
いん	印,員
うえ	上,飢え
うける	受ける,請ける
うごく	動く
うし	牛
うしろ	後ろ
うた	歌,唄
うたう	歌う
うち	内,家,打ち
うつくしい	美しい
うつす	写す,移す
うで	腕
うま	馬,旨
うまれる	生まれる
うみ	海,膿
うる	売る,得る
うれしい	嬉しい
うわさ	噂
うんてん	運転
うんどう	運動
えいが	映画
えいぎょう	営業
えいご	英語
えき	駅,液
えらぶ	選ぶ
えん	円,縁,園,宴
おいしい	美味しい
おおい	多い
おおきい	大きい
おかね	お金
おきる	起きる
おく	置く,奥,億
おくる	送る,贈る
おこなう	行う
おさない	幼い
おしえる	教える
おす	押す,雄
おそい	遅い
おちる	落ちる
おっと	夫
おと	音
おとうと	弟
おとこ	男
おとす	落とす
おなじ	同じ
おねがい	お願い
おぼえる	覚える
おもい	重い,思い
おもう	思う,想う
おもしろい	面白い
およぐ	泳ぐ
おわり	終わり
おわる	終わる
おんがく	音楽
おんな	女
かいぎ	会議
かいしゃ	会社
かいはつ	開発
かいもの	買い物
かう	買う,飼う
かえす	返す,帰す
かえる	帰る,変える,替える,蛙
かお	顔
かかく	価格
かがく	科学,化学
かかる	掛かる,係る
かき	柿,夏季,書き
かぎり	限り
かく	書く,描く,各,核,角
がくせい	学生
かぐ	家具,嗅ぐ
かける	掛ける,欠ける,駆ける
かこ	過去
かさ	傘,笠
かず	数
かぜ	風,風邪
かた	方,型,肩,片
かたち	形
かち	価値,勝ち
がっこう	学校
かつどう	活動
かなしい	悲しい
かならず	必ず
かね	金,鐘
かのう	可能
かのじょ	彼女
かばん	鞄
かみ	紙,神,髪,上
かようび	火曜日
からだ	体,身体
かりる	借りる
かれ	彼,枯れ
かわ	川,皮,革,側
かわる	変わる,代わる,替わる
かんがえる	考える
かんけい	関係
かんじ	漢字,感じ
かんたん	簡単
かんり	管理
きかい	機会,機械
きかん	期間,機関
きく	聞く,聴く,効く,菊
きけん	危険
きこく	帰国
きじ	記事,生地
きせつ	季節
きた	北,来た
きたい	期待,気体
きぼう	希望
きほん	基本
きまる	決まる
きめる	決める
きもち	気持ち
きゃく	客
きゅう	急,九,球,旧
きゅうけい	休憩
きょう	今日,京,強,教
きょういく	教育
きょうかい	協会,教会,境界
きょうしつ	教室
きょうそう	競争
きょうみ	興味
きょうりょく	協力
きろく	記録
きんがく	金額
きんようび	金曜日
くうき	空気
くうこう	空港
くすり	薬
くだもの	果物
くち	口
くつ	靴
くに	国
くば	配
くび	首
くも	雲,蜘蛛
くらい	暗い,位
くらす	暮らす,暮らし
くる	来る
くるま	車
くろ	黒
くわしい	詳しい
けいえい	経営
けいかく	計画
けいけん	経験
けいざい	経済
けいさん	計算
けいたい	携帯,形態
けが	怪我
けさ	今朝
けしき	景色
けす	消す
けっか	結果
けっこん	結婚
げつようび	月曜日
けん	件,県,券,健,見
げんいん	原因
げんき	元気
けんきゅう	研究
げんざい	現在
けんこう	健康
げんば	現場
こうえん	公園,講演
こうか	効果,高価
こうこう	高校
こうさてん	交差点
こうじ	工事
こうじょう	工場,向上
こうつう	交通
こうどう	行動,講堂
こうはい	後輩
こうもく	項目
こえ	声,越え
ごご	午後
こころ	心
ございます	御座います
こたえ	答え
こたえる	答える,応える
ごぜん	午前
こと	事,琴
ことし	今年
ことば	言葉
こども	子供,子ども
この	この,好の
こまかい	細かい
こまる	困る
こむ	混む,込む
こめ	米
これ	これ,此れ
こわい	怖い
こんげつ	今月
こんしゅう	今週
こんど	今度
こんばん	今晩
さいきん	最近
さいご	最後
さいしょ	最初
さいふ	財布
さか	坂,酒
さがす	探す,捜す
さかな	魚
さがる	下がる
さき	先,咲き
さくじつ	昨日
さくねん	昨年
さくひん	作品
さくら	桜
さけ	酒,鮭
さげる	下げる
ささえる	支える
さす	刺す,指す,差す
さそう	誘う
さっき	先程
さとう	砂糖,佐藤
さむい	寒い
さん	三,山,産,賛
さんか	参加
さんぎょう	産業
さんぽ	散歩
しあい	試合
しあわせ	幸せ
しお	塩,潮
しかく	資格,四角,視覚
しかし	然し
しかた	仕方
じかん	時間
しき	式,四季,指揮
しけん	試験
じこ	事故,自己
しごと	仕事
じしん	自信,地震,自身
しずか	静か
しせつ	施設
しぜん	自然
した	下,舌
じだい	時代
したがって	従って
しつもん	質問
しつれい	失礼
じてんしゃ	自転車
じどう	自動,児童
しなもの	品物
しぬ	死ぬ
じぶん	自分
しま	島,縞
しまる	閉まる,締まる
しみん	市民
じむしょ	事務所
しめる	閉める,締める,占める
しゃかい	社会
しゃしん	写真
しゃちょう	社長
じゆう	自由
しゅうかん	習慣,週間
じゅうしょ	住所
しゅうり	修理
じゅぎょう	授業
しゅくだい	宿題
しゅっせき	出席
しゅっちょう	出張
しゅみ	趣味
じゅんび	準備
しょうかい	紹介
しょうがつ	正月
しょうひん	商品
じょうほう	情報
しょくじ	食事
しょくば	職場
しらべる	調べる
しる	知る
しろ	白,城
しん	新,信,心,真
しんぱい	心配
しんぶん	新聞
すいようび	水曜日
すう	吸う,数
すうじ	数字
すき	好き,隙
すぎる	過ぎる
すくない	少ない
すぐに	直ぐに
すごい	凄い
すこし	少し
すすむ	進む
すすめる	進める,勧める,薦める
ずっと	ずっと
すてき	素敵
すべて	全て
すむ	住む,済む
する	する,擦る
すわる	座る
せいかつ	生活
せいかく	性格,正確
せいこう	成功
せいさん	生産,清算
せいひん	製品
せかい	世界
せき	席,咳,関
せつめい	説明
せなか	背中
せまい	狭い
せわ	世話
せん	千,線,選,先
ぜんぶ	全部
そうだん	相談
そうべつ	送別
そこ	底,其処
そだてる	育てる
そつぎょう	卒業
そと	外
そのまま	その儘
そら	空
たいいく	体育
だいがく	大学
たいけん	体験
たいせつ	大切
たいちょう	体調,隊長
だいひょう	代表
たいへん	大変
たいよう	太陽
たかい	高い
だから	だから
たしか	確か
たす	足す
だす	出す
たすける	助ける
たずねる	訪ねる,尋ねる
ただしい	正しい
たたみ	畳
たち	立ち,達
たつ	立つ,建つ,経つ
たてもの	建物
たとえば	例えば
たなか	田中
たのしい	楽しい
たのむ	頼む
たばこ	煙草
たべもの	食べ物
たべる	食べる
たまご	卵,玉子
ため	為
だめ	駄目
たりる	足りる
だれ	誰
たんじょうび	誕生日
ちいさい	小さい
ちかい	近い
ちがう	違う
ちから	力
ちず	地図
ちち	父,乳
ちほう	地方
ちゅうい	注意
ちゅうしゃ	駐車,注射
ちゅうもん	注文
ちょうさ	調査
ちょうし	調子
ちょきん	貯金
つかう	使う,遣う
つかれる	疲れる
つき	月,付き
つぎ	次
つく	着く,付く,就く
つくる	作る,造る,創る
つける	付ける,着ける
つごう	都合
つたえる	伝える
つづく	続く
つづける	続ける
つとめる	勤める,努める,務める
つま	妻
つめたい	冷たい
つよい	強い
であう	出会う
ていあん	提案
ていど	程度
てがみ	手紙
できる	出来る
でぐち	出口
てつだう	手伝う
てん	点,店,天,転
てんき	天気
でんき	電気,伝記
でんしゃ	電車
てんじ	展示
でんわ	電話
どうぐ	道具
どうし	同士,動詞
どうぞ	どうぞ
どうも	どうも
どうろ	道路
とおい	遠い
とおる	通る
とき	時
とくい	得意
とくに	特に
とけい	時計
どこ	何処
ところ	所,処
とし	年,都市
としょかん	図書館
とちゅう	途中
とどく	届く
となり	隣
とぶ	飛ぶ,跳ぶ
とまる	止まる,泊まる
ともだち	友達
どようび	土曜日
とり	鳥,取り
とる	取る,撮る,採る
どりょく	努力
なおす	直す,治す
なか	中,仲
ながい	長い
なかま	仲間
なつ	夏
なつやすみ	夏休み
なまえ	名前
ならう	習う
なる	成る,鳴る,なる
なん	何,難,南
におい	匂い,臭い
にく	肉,憎
にちようび	日曜日
にほん	日本
にもつ	荷物
にゅうりょく	入力
にわ	庭
にんき	人気
ぬぐ	脱ぐ
ねこ	猫
ねだん	値段
ねつ	熱
ねる	寝る,練る
ねん	年,念
のこる	残る
のぼる	登る,上る
のみもの	飲み物
のむ	飲む
のる	乗る,載る
はいる	入る
はこぶ	運ぶ
はし	橋,箸,端
はじまる	始まる
はじめて	初めて,始めて
はじめる	始める
ばしょ	場所
はしる	走る
はたらく	働く
はな	花,鼻,話
はなし	話
はなす	話す,離す
はは	母
はやい	早い,速い
はる	春,張る,貼る
はれ	晴れ
はんたい	反対
はんぶん	半分
ひかり	光
ひく	引く,弾く
ひくい	低い
ひこうき	飛行機
ひだり	左
ひつよう	必要
ひと	人
ひとつ	一つ
ひとり	一人,独り
ひみつ	秘密
びょういん	病院
びょうき	病気
ひらく	開く
ひる	昼
ひるごはん	昼ご飯
ひろい	広い
ふうけい	風景
ふえる	増える
ふかい	深い
ふく	服,吹く,拭く,福
ふくざつ	複雑
ふたつ	二つ
ふたり	二人
ふつう	普通
ふとん	布団
ふゆ	冬
ふる	降る,振る,古
ふるい	古い
ぶんか	文化
ぶんしょう	文章
へや	部屋
へん	変,辺,編
べんきょう	勉強
へんじ	返事
べんり	便利
ほうこく	報告
ほうほう	方法
ほうもん	訪問
ほか	他,外
ほしい	欲しい
ほそい	細い
ほんとう	本当
ほんや	本屋
まいにち	毎日
まえ	前
まかせる	任せる
まける	負ける
まさか	まさか
まじめ	真面目
まず	先ず
まずしい	貧しい
また	又,また,股
まち	町,街,待ち
まちがい	間違い
まつ	待つ,松
まったく	全く
まで	迄
まど	窓
まなぶ	学ぶ
まもる	守る
まわり	周り,回り
まんぞく	満足
みかた	味方,見方
みぎ	右
みじかい	短い
みず	水
みせ	店
みせる	見せる
みち	道
みつける	見つける
みどり	緑
みなさん	皆さん
みなみ	南
みみ	耳
みる	見る,診る,観る
むかし	昔
むずかしい	難しい
むすこ	息子
むすめ	娘
むり	無理
めいわく	迷惑
めずらしい	珍しい
もくてき	目的
もくようび	木曜日
もし	もし,若し
もちろん	勿論
もつ	持つ
もっと	もっと
もどる	戻る
もの	物,者
もらう	貰う
もり	森
もんだい	問題
やくそく	約束
やさい	野菜
やさしい	優しい,易しい
やすい	安い
やすみ	休み
やすむ	休む
やま	山
ゆうがた	夕方
ゆうめい	有名
ゆき	雪,行き
ゆっくり	ゆっくり
ゆび	指
ゆめ	夢
ようい	用意
ようじ	用事
ようす	様子
よう	用,様,要,酔う
よく	良く,欲
よこ	横
よてい	予定
よぶ	呼ぶ
よむ	読む
よる	夜,寄る,因る
よろこぶ	喜ぶ
よろしく	宜しく
らいげつ	来月
らいしゅう	来週
らいねん	来年
りかい	理解
りゆう	理由
りよう	利用
りょう	量,寮,料,両
りょうきん	料金
りょうり	料理
りょかん	旅館
りょこう	旅行
れい	例,礼,零
れいぞうこ	冷蔵庫
れんしゅう	練習
れんらく	連絡
ろうか	廊下
わかい	若い
わかる	分かる,解る,判る
わかれる	別れる,分かれる
わすれる	忘れる
わたし	私
わたす	渡す
わたる	渡る
わらう	笑う
わるい	悪い
われわれ	我々
