# 漢字モード用の単漢字テーブル。よみ<TAB>漢字を並べる（左が優先）。dict.txt（語彙）とは別テーブル。
あい	愛,相,合,藍,哀
あお	青,蒼
あか	赤,明,朱
あき	秋,明,空
あさ	朝,浅,麻
あし	足,脚,芦
あじ	味,鯵
あめ	雨,飴
あん	安,案,暗,行
い	以,位,意,医,衣,井,異,委,囲,胃,移
いち	一,市,位置
いん	員,院,引,飲,印,因,音,陰
う	右,宇,雨,有
うち	内,家,打
うみ	海
うん	運,雲
えい	英,栄,永,営,映,衛,泳
えき	駅,液,益
えん	円,園,遠,演,塩,延,縁,沿
おう	王,黄,横,応,央,往,皇,桜
おと	音,落
おん	音,温,恩,遠
か	下,火,花,家,歌,課,科,加,可,化,価,果,河,貨,過,夏
かい	会,回,海,開,界,階,絵,快,解,改,械,貝
かく	各,角,画,格,確,覚,拡,革,客,核
がく	学,楽,額
かつ	活,勝,割
かん	間,感,漢,館,官,管,関,観,完,寒,巻,看,簡,幹,慣
き	気,木,期,機,記,基,帰,起,規,希,喜,器,旗,危,揮,貴,疑
ぎ	技,義,議,疑,儀
きゅう	九,休,急,球,究,級,宮,弓,救,給,吸,求,久,旧,泣
きょう	京,強,教,共,協,鏡,競,境,橋,胸,郷,興
きん	金,近,勤,均,禁,筋,緊
く	区,句,苦,九,工,久
くう	空
くん	君,訓,軍
け	毛,家,化,気
けい	計,係,形,経,警,景,軽,兄,系,型,径,敬,競
けつ	決,結,血,欠,潔
けん	見,県,験,研,建,健,件,券,険,検,権,憲,絹,遣
げん	元,原,言,現,限,減,源,厳,験
こ	子,小,個,古,故,湖,固,己,戸,呼,庫
こう	高,校,行,公,広,考,光,合,幸,港,交,好,候,航,康,構,講,鉱,興,効,厚,耕,降,鋼,皇,紅,孝
こく	国,黒,告,穀,刻
こん	今,金,根,建,混,困,紺
さ	左,差,作,査,砂,茶
さい	最,才,細,済,際,再,採,菜,妻,災,財,罪,裁,策
さく	作,昨,策,冊,索
さん	三,山,産,散,算,参,賛,酸,残,蚕
し	市,四,子,支,止,私,使,始,思,指,紙,誌,詞,詩,師,資,試,示,士,史,司,姿,視,飼,歯
じ	時,事,自,持,地,字,次,治,児,辞,示,似,磁
しき	式,色,識,織
しつ	室,質,失,実,湿
しゃ	社,者,車,写,謝,舎,射,捨
しゅ	手,主,取,守,種,首,酒,修,衆
しゅう	週,秋,集,習,終,住,州,拾,修,宗,就,衆,収,周,祝
しょ	書,所,初,処,署,諸,暑
しょう	小,少,商,勝,章,消,昭,笑,焼,唱,証,象,賞,照,将,傷,障,松,省,清,承,招,床,昇
じょう	上,場,状,常,情,条,城,乗,蒸,浄
しん	新,心,身,神,親,信,真,深,進,申,森,針,臣,審
じん	人,神,仁,尽,陣
すい	水,推,垂,吹
せい	生,成,青,声,西,星,晴,正,静,清,製,性,政,勢,精,聖,誠,省,盛,制
せき	石,赤,席,積,責,関,績,昔
せつ	切,雪,説,節,設,接,絶,折
せん	千,川,先,線,選,戦,船,泉,洗,専,浅,宣,染,銭
ぜん	前,全,然,善,禅
そう	早,走,送,想,相,草,窓,創,操,層,装,総,争,倉,巣,奏
そく	足,速,息,則,測,側,束,属
た	田,他,多,太
たい	大,体,対,待,台,代,隊,帯,態,退,貸
だい	大,台,代,第,題,内
たん	短,単,担,炭,探,誕,段,団
ち	地,知,池,治,置,値,遅
ちゅう	中,注,昼,虫,柱,忠,宙
ちょう	長,朝,鳥,町,調,帳,張,庁,頂,腸,潮,兆,超
つう	通,痛
てい	定,低,底,提,程,停,庭,弟,帝
てん	天,店,点,転,展,典,伝
でん	田,電,伝,殿
と	図,都,土,徒,度,途
とう	東,当,答,冬,島,湯,登,等,頭,統,討,党,糖,投,豆,到
どう	同,道,動,堂,働,童,銅,導
とく	特,得,徳,読,独,毒
にち	日
にゅう	入,乳
にん	人,任,認,忍
ねん	年,念,燃,然
のう	農,能,脳,納,悩
は	葉,歯,波,派,破,場
はい	配,敗,拝,背,肺,俳,廃
はく	白,博,伯
はつ	発,初
はん	半,反,飯,判,版,班,犯,坂
ひ	日,火,非,比,飛,費,秘,悲,皮,批,肥
ひょう	表,票,標,評,氷,俵
びょう	病,秒,平,描
ふ	不,父,府,付,布,負,富,婦,夫,普
ふう	風,夫,富
ふく	服,福,複,復,副,腹
ぶつ	物,仏
ぶん	文,分,聞
へい	平,兵,並,閉,陛
へん	変,辺,返,編,片
ほ	歩,保,補,穂
ほう	方,放,法,報,包,豊,訪,宝,望
ぼう	望,防,暴,貿,棒,忘,亡,忙
ほん	本,反
まい	毎,米,枚,妹
まん	万,満,慢
み	味,実,見,身,未,美
みん	民,眠
む	無,武,務,夢,矛
めい	名,明,命,鳴,迷,盟
めん	面,綿,免
もく	木,目,黙
もん	問,門,文,聞
や	夜,野,家,矢,屋
やく	役,薬,約,訳,益
ゆ	湯,油,由,輸
ゆう	有,友,遊,郵,優,勇,由,夕,雄
よ	予,余,世,夜,与,預
よう	用,曜,様,洋,葉,陽,要,養,容,幼,欲,溶
らい	来,頼,雷
らく	楽,落,絡
り	利,理,里,裏,離,率
りつ	立,律,率
りゅう	流,留,竜,粒
りょ	旅,慮
りょう	両,料,量,良,領,寮,療
りょく	力,緑
りん	林,輪,臨,隣
るい	類,累
れい	礼,例,冷,令,零,霊
れつ	列,烈,劣
れん	練,連,恋,列
ろ	路,炉,露
ろう	老,労,朗,郎,廊
ろん	論
わ	和,話,輪
